Модель,Год,Пробег,Цена,Описание
"BMW 5 серия F10, F11 · Рестайлинг",2013,230000,24000,"автомат, 3,0 л, дизель, седан"
"BMW 2 серия Gran Tourer F46 · Рестайлинг",2020,130000,19500,"механика, 1,5 л, дизель, минивэн"
"BMW iX1",2023,9800,30900,"автомат, электро, внедорожник 5 дв., запас хода 450 км"
"BMW 5 серия E60, E61 · Рестайлинг",2007,359000,13350,"автомат, 3,0 л, дизель, седан"
"BMW 1 серия E81, E82, E88, E87",2005,233000,6700,"механика, 1,6 л, бензин, хэтчбек 5 дв."
"BMW 2 серия Gran Tourer F46",2016,215000,15150,"механика, 1,5 л, дизель, минивэн"
"BMW 5 серия E60, E61 · Рестайлинг",2008,451000,11900,"механика, 2,0 л, дизель, универсал"
"BMW 3 серия E36",1996,385000,1300,"механика, 1,6 л, бензин, седан"
"BMW X3 G01 · Рестайлинг",2023,49000,46500,"автомат, 2,0 л, бензин, внедорожник 5 дв."
"BMW 3 серия E36",1999,400000,3000,"механика, 1,9 л, бензин, хэтчбек 3 дв."
"BMW 2 серия F44",2020,75000,27300,"робот, 1,5 л, бензин, седан"
"BMW i3 I01 · Рестайлинг",2019,105000,17100,"автомат, электро, хэтчбек 5 дв., запас хода 320 км"
"BMW 5 серия G30, G31",2018,181000,43500,"автомат, 3,0 л, дизель, седан"
"BMW 3 серия F30,F31 · Рестайлинг",2018,110000,17600,"автомат, 2,0 л, бензин, седан"
"BMW X3 G01 · Рестайлинг",2023,4511,52000,"автомат, 2,0 л, бензин, внедорожник 5 дв."
"BMW X1 F48",2016,76000,21700,"автомат, 2,0 л, бензин, внедорожник 5 дв."
"BMW 5 серия E39",2000,325000,5000,"механика, 2,5 л, бензин, седан"
"BMW 3 серия E46 · Рестайлинг",2004,347000,6300,"механика, 2,0 л, дизель, универсал"
"BMW 4 серия  G22, G23, G26",2020,32000,37000,"автомат, 2,0 л, бензин, купе"
"BMW X2 F39",2020,131000,25600,"автомат, 1,5 л, дизель, внедорожник 5 дв."
"BMW X5 E53",2003,394493,10500,"автомат, 2,9 л, дизель, внедорожник 5 дв."
"BMW X3 F25 · Рестайлинг",2014,285000,19400,"автомат, 2,0 л, дизель, внедорожник 5 дв."
"BMW 1 серия F40",2021,85000,27777,"робот, 1,5 л, бензин, хэтчбек 5 дв."
"BMW 5 серия E39 · Рестайлинг",2002,298000,9500,"автомат, 2,9 л, дизель, седан"
"BMW 3 серия E46 · Рестайлинг",2004,335500,6200,"автомат, 1,8 л, бензин, седан"
